Original Rank,New Rank,Change,College,Faculty,SS,FSR,FQE,FRU,PU,QP,IPR,FPPP,GPH,GUE,GMS,GPHD,RD,WD,ESCS,PCS,PR,,Total
64,65,-1,NIT Raipur,250,13.68,22.1,13.76,11.03,13.49,14.29,0.5,0.7,24.4,15,15.34,4.52,11.42,18.33,8.56,20,2.87,44.835,45.21346154
73,66,7,IIIT Guwahati,48,5.63,28.59,16.37,14.28,4.08,4.34,0,0.71,27.78,14.92,14.13,0.08,19.2,18.55,0.27,15,31.01,41.985,45.97476923
115,67,48,National Institute of Foundry and Forge Technology (NIFFT),51,4.43,29.64,17.22,15.78,1.75,2.68,0,0.29,27.63,12.89,11.78,1.41,14.52,8.22,2.42,20,5.55,37.35,44.46276923
69,68,1,NIT Srinagar,183,10.14,24.73,14.87,16.13,6.26,7.25,0,0.78,25.55,15,13.37,3.93,12.03,21.32,10.54,20,6.19,42.626,44.63915385
114,69,45,NIT Manipur,74,6.62,30,13.92,10.56,5.83,7.67,0,1.28,14.22,12.49,13.58,1.88,10,19.07,9.82,20,3.56,37.443,44.42976923
55,70,-15,Satyabhama,819,14.91,23.76,12.72,8.44,14.46,15.61,10,0.98,14.9,15,10.42,5.07,17.43,22.84,2.9,20,9.87,46.646,43.92592308
96,71,25,Bharati Vidyapeeth Deemed University College of Engineerin,232,12.11,28.78,12.5,6.95,0.79,1.07,1,0.16,35.61,15,9.8,2.32,21.77,25.45,4.36,20,6.83,39.395,44.57569231
74,72,2,"College of Engineering, Vishakhapatnam",183,11,23.33,15.04,15.07,4.37,3.76,0,1.65,37.1,15,11,6.06,1.3,28.37,4.25,20,4.23,41.913,43.53092308
101,73,28,Siddaganga Institute of Technology,282,9.84,27.92,13.72,7.91,5.74,7.3,2,0.39,29.1,12.57,11.95,0.62,4.09,24.87,0.6,20,5.55,38.805,44.21323077
97,74,23,Northcap University,125,7.28,26.63,15.08,11.37,5.4,7.24,0,0.08,30.84,15,10.75,0.24,9.25,20.89,1.18,20,8.07,39.229,44.85446154
54,75,-21,IIIT Hyderabad,103,8.38,16.98,11.81,13.58,16.63,15.27,0,1.18,31.32,12.5,25,2.26,18.39,12.64,0.41,20,26.15,47.124,43.77430769
75,76,-1,Graphic Era,258,10.89,27.32,13.96,12.6,4.52,6.23,2.5,0.4,23.43,14.39,10.39,0.85,16.36,23.55,0.54,20,24.53,41.836,43.515
61,77,-16,Chandigarh University,907,17,27.5,13.03,11.36,3,5.82,8,0.23,17.66,15,11.89,2.26,23.05,28.98,4.29,20,22.42,45.018,43.65230769
78,78,0,Sri Krishna College of Engineering and Technology,353,12,27.62,11.78,10.83,2.8,4.14,3,0.92,36.04,15,11.82,0.4,1.1,25.81,2.8,20,17.35,41.285,43.51838462
60,79,-19,Maulana Azad NIT,370,13.34,19.37,12.32,10.69,13.31,14.22,0.5,0.86,29.56,15,14.84,4.57,13.12,19.91,5.57,20,9.87,45.024,43.714
100,80,20,CV Raman Global University,396,10.2,30,12.05,9.85,1.56,2.94,1,0.08,32.85,15,11.04,0,12.62,21.92,3.01,20,11.02,38.939,44.15684615
85,81,4,NIT Goa,47,5.88,23.37,13.31,14.13,10.49,9.51,0,1.42,25.64,12.69,14.13,1.06,15.64,19.32,2.11,20,7.45,40.589,43.25161538
76,82,-6,IIIT Bangalore,63,5.97,23.15,14.08,15.7,6.15,3.58,0.5,0.65,24.44,15,23.8,0.4,21.32,19.6,0,20,18.8,41.634,43.03030769
112,83,29,B. S. Abdur Rahman Crescent Institute of Science and Technology,325,8.83,27.77,14.66,9.12,5.45,8.82,1.5,0.66,24.87,12.92,9.11,0.4,2.86,19.76,1.98,20,6.19,37.582,43.67338462
118,84,34,Manav Rachna International Institute of Research & Studies,167,7.59,28.27,13.24,8.72,2.03,2.27,1.5,0.41,31.49,15,11.04,0.85,11.45,19.6,1.17,20,11.59,37.266,42.87092308
71,85,-14,Thiagarajar College of Engineering,311,11.5,23.82,12.62,8.17,7.27,8.71,1,1.66,32.39,15,10.84,2.68,0.49,26.6,3.9,20,28.83,42.589,43.39515385
62,86,-24,JNTU,447,14.48,26.96,12.87,17.99,12.17,10.83,2,2.99,14.68,13.21,10.34,2.8,1.78,27.4,4.62,20,12.7,44.943,43.30246154
