ip_address,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16
104.166.195.220,4,6,4,6,4,4,3,2,8,2,10,1,2,2,1,1,7
104.166.195.220,1,7,4,4,4,4,1,2,10,2,10,1,1,1,1,1,3
104.166.195.220,1,7,4,4,4,4,1,2,10,2,10,1,1,1,1,1,0
104.166.195.220,1,1,2,0,1,1,1,1,10,4,10,0,0,0,0,0,0
104.166.195.220,0,0,0,0,0,0,0,0,10,10,10,0,0,0,0,0,0
104.166.195.220,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0
104.166.195.220,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
104.166.195.220,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0
4.4.108.82,4,6,4,6,7,8,2,2,10,2,3,3,2,2,1,1,7
4.4.108.82,4,6,4,6,7,8,2,2,10,2,3,3,2,2,1,1,7
4.4.108.82,4,6,10,6,7,8,2,2,7,2,3,3,2,2,1,1,7
4.4.108.82,4,6,10,6,7,8,2,7,7,2,3,3,2,2,1,1,7
49.37.131.219,0,10,10,8,9,8,5,9,10,10,10,7,10,2,1,2,10
49.37.131.219,0,10,10,8,9,8,5,9,10,10,10,7,10,2,1,2,10
142.147.58.81,4,6,4,6,7,8,3,2,10,2,3,3,2,2,1,1,7
49.37.131.219,0,10,10,10,9,8,10,9,10,10,10,7,10,2,1,2,10
223.178.211.171,4,6,7,4,7,8,3,2,5,2,3,3,2,2,1,1,10
104.28.201.85,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
42.110.170.151,4,6,4,6,7,8,3,2,5,2,3,3,2,2,1,1,7
129.236.142.12,4,6,4,6,7,8,3,2,5,2,3,3,2,2,1,1,10
67.167.81.181,4,10,10,6,10,10,3,10,0,0,0,10,0,0,7,0,0
223.225.56.122,0,9,9,0,0,7,3,5,10,0,10,0,6,0,0,0,0
182.18.177.62,0,1,0,6,0,0,0,7,5,2,3,3,2,8,1,1,10
171.101.106.246,8,6,8,5,5,8,3,2,9,2,9,3,2,2,1,1,7
49.37.167.166,4,6,8,6,7,9,3,6,5,2,3,3,4,2,10,1,6
49.205.115.17,2,6,10,7,4,7,2,4,5,1,3,3,2,2,1,1,7
193.32.126.151,7,7,7,0,7,8,3,2,10,2,10,0,2,2,1,1,7
27.56.191.81,4,6,4,6,7,8,3,2,5,2,3,3,2,2,1,1,7
106.206.37.5,4,6,4,6,7,8,3,2,5,2,3,3,2,2,1,1,7
106.206.37.5,4,6,4,6,7,8,3,2,5,2,3,3,2,2,1,1,10
106.206.37.5,4,6,4,6,7,8,3,2,5,2,3,3,2,2,1,1,0
